Sample Number,Year,Area,Vessel,Pot,Sex,Legal,Carapace length,Carapace width,Coxa walking leg 1 RIGHT,Coxa walking leg 2 RIGHT,Coxa walking leg 3 RIGHT,Coxa walking leg 1 LEFT,Coxa walking leg 2 LEFT,Coxa walking leg 3 LEFT,Comments,QC,Data Recorder,Samplers,CW Size Bin
51,2025,Juneau,Medeia,5,M,Sublegal,112,135,22,20,24,23,23,23,regenerated right leg,AGR,SYW,"AGR, SM, TJ",130-139
69,2025,Juneau,Medeia,6,M,Sublegal,116,135,22,23,22,22,23,23,,AGR,SYW,"AGR, SM, TJ",130-139
111,2025,Juneau,Medeia,7,M,Sublegal,108,135,21,21,21,21,21,22,,AGR,SYW,"AGR, SM, TJ",130-139
175,2025,Juneau,Medeia,11,M,Sublegal,114,135,21,23,23,24,23,24,leg missing,TJ,SYW,"AGR, SM, TJ",130-139
508,2025,St James Bay,Medeia,8,M,Sublegal,107,135,22,22,23,22,22,23,,,,,130-139
552,2025,St James Bay,Medeia,13,M,Sublegal,114,135,22,23,24,23,22,23,,,,,130-139
555,2025,St James Bay,Medeia,13,M,Sublegal,110,135,22,23,23,21,23,23,,,,,130-139
636,2025,St James Bay,Medeia,10,M,Sublegal,116,135,23,22,24,23,24,23,,Y,,,130-139
177,2017,Excursion,Medeia,,M,Sublegal,113,136,24,25,25,26,27,25,,,,,130-139
226,2025,Juneau,Medeia,14,M,Sublegal,118,136,23,24,24,24,23,24,,TJ,SYW,"AGR, SM, TJ",130-139
168,2017,Excursion,Medeia,,M,Sublegal,113,137,24,26,25,25,26,25,,,,,130-139
101,2017,Excursion,Medeia,,M,Sublegal,110,137,25,25,23,24,26,25,,,,,130-139
125,2017,Excursion,Medeia,,M,Sublegal,115,137,26,26,26,25,26,25,,,,,130-139
179,2025,Juneau,Medeia,11,M,Sublegal,118,137,23,23,24,23,24,24,,TJ,SYW,"AGR, SM, TJ",130-139
192,2025,Juneau,Medeia,13,M,Sublegal,118,137,24,24,24,24,24,25,,TJ,SYW,"AGR, SM, TJ",130-139
130,2017,Excursion,Medeia,,M,Sublegal,111,138,24,25,24,24,26,24,,,,,130-139
171,2017,Excursion,Medeia,,M,Sublegal,112,138,25,25,25,25,26,25,,,,,130-139
167,2017,Excursion,Medeia,,M,Sublegal,116,138,25,26,25,26,26,25,,,,,130-139
28,2017,Peril Strait,Medeia,,M,Sublegal,116,138,26,26,25,25,27,26,,,,,130-139
1,2017,Peril Strait,Medeia,,M,Sublegal,114,138,26,26,26,25,26,26,,,,,130-139
